"sk_ponto";"ds_best_param";"n_time_steps";"MSE";"RMSE";"MAE";"MAPE";"Duration"
5;"ARIMA(0,1,2)(0,0,0)";1;35311,0600752896;187,912373395925;148,583571698221;20,8740283089393;38,469
5;"ARIMA(3,1,0)(0,0,0)";2;64367,2717008168;253,707058831277;195,510496808167;34,3397147815209;94,649
5;"ARIMA(5,1,0)(0,0,0)";3;90542,6552113155;300,90306613811;226,630584197627;46,2655960758448;71,135
5;"ARIMA(0,1,0)(0,0,0)";4;69296,1703372439;263,241657678347;201,484910429551;39,027668057022;18,538
5;"ARIMA(0,1,0)(0,0,0)";5;93542,7591453172;305,847607715537;230,598516713868;47,5785875092299;22,546
5;"ARIMA(0,1,0)(0,0,0)";6;130621,523888065;361,415998384224;269,572393807582;70,5347294976524;25,549
6;"ARIMA(0,1,4)(0,0,0)";1;17365,1448328046;131,776875182274;124,351128631797;52,468296076342;93,57
6;"ARIMA(0,1,0)(0,0,0)";2;21015,5243371942;144,967321618336;136,907670895148;54,1399166068371;14,144
6;"ARIMA(0,1,0)(0,0,0)";3;22192,4183610584;148,971199770487;140,470902493958;56,4448135601712;19,986
6;"ARIMA(3,1,0)(0,0,0)";4;31905,4591918111;178,620993144174;165,729251449643;92,3874325051006;86,786
6;"ARIMA(1,1,0)(0,0,0)";5;28502,598473522;168,827126000302;157,530393419905;75,6945225939313;74,365
6;"ARIMA(3,1,0)(0,0,0)";6;28387,784606107;168,486749051986;157,116939056989;76,608959808923;135,631
7;"ARIMA(0,1,1)(0,0,0)";1;2207,54318451816;46,9844994069125;36,4429040520915;6,45351275952307;31,589
7;"ARIMA(4,1,0)(0,0,0)";2;14391,3462147795;119,963937142708;105,966358864981;21,3422091539764;160,778
7;"ARIMA(2,1,0)(0,0,0)";3;6319,14392089227;79,4930432232423;69,6422395194261;13,0064161267994;146,779
7;"ARIMA(0,1,0)(0,0,0)";4;19610,8881831569;140,038880969382;124,683091798179;26,4648480619004;37,931
7;"ARIMA(1,1,0)(0,0,0)";5;12404,7981606876;111,376829550349;98,9403453790538;19,6493205527479;147,257
7;"ARIMA(1,1,0)(0,0,0)";6;12884,6504425258;113,510574144111;100,790742454484;20,0764026168034;136,922
11;"ARIMA(1,1,5)(0,0,0)";1;2129,73270865714;46,1490271691305;38,0907304277188;4,39266133256577;126,638
11;"ARIMA(2,1,3)(0,0,0)";2;3161,75941406509;56,229524398354;46,792404962079;5,35743282239813;154,609
11;"ARIMA(1,1,1)(0,0,0)";3;2198,98232579748;46,8933078999283;38,8371294438283;4,47482740611055;261,373
11;"ARIMA(1,1,2)(0,0,0)";4;2153,07912194141;46,4012836238547;38,3344647956074;4,42072107263729;149,409
11;"ARIMA(1,1,1)(0,0,0)";5;1372,99592063471;37,0539595810584;30,3527132173197;3,51396067195462;90,262
11;"ARIMA(1,1,1)(0,0,0)";6;1196,29180702329;34,5874515832447;27,8036628226082;3,23689205350067;176,238
12;"ARIMA(5,1,0)(0,0,0)";1;2030,91521019087;45,0656766307893;37,7107939844618;11,714108407363;63,469
12;"ARIMA(1,1,0)(0,0,0)";2;5684,5724026949;75,3961033654585;63,667053049462;22,3576154089556;104,367
12;"ARIMA(2,1,0)(0,0,0)";3;120325,80504885;346,880101834698;289,741085438956;196,118757465348;174,28
12;"ARIMA(1,1,0)(0,0,0)";4;4689,6949238016;68,4813472691769;59,1822280675381;19,4517258602935;127,262
12;"ARIMA(1,1,0)(0,0,0)";5;19070,5251383849;138,096072132356;119,981091451182;66,515672244469;113,115
12;"ARIMA(5,1,1)(0,0,0)";6;10646,5306005271;103,182026538187;89,1667911395215;28,6989501740745;833,045
4;"ARIMA(0,1,1)(0,0,0)";1;7611,48888765978;87,2438472768125;65,3506278710874;11,8527840980989;30,566
4;"ARIMA(5,1,0)(0,0,0)";2;146358,992856741;382,568938698296;317,99537226016;32,3181635409027;88,595
4;"ARIMA(0,1,1)(0,0,0)";3;15318,4385515309;123,767679753362;96,7190092626112;17,064224348892;65,698
4;"ARIMA(0,1,0)(0,0,0)";4;26390,442188488;162,45135329842;127,810543213196;24,4576278198001;26,413
4;"ARIMA(0,1,0)(0,0,0)";5;29172,6719825001;170,80009362556;133,714652774661;33,36090115956;30,465
4;"ARIMA(0,1,0)(0,0,0)";6;32580,7211843998;180,501305215225;139,995115680888;30,706256862162;43,614
13;"ARIMA(2,1,1)(0,0,0)";1;147425,339725812;383,960075692528;297,758072055013;8,31373783546279;61,515
13;"ARIMA(1,1,1)(0,0,0)";2;119343,085796834;345,460686326005;267,828293458935;7,56189497246546;59,231
13;"ARIMA(1,1,3)(0,0,0)";3;189491,365214177;435,306059243582;336,949108915265;9,25794386115365;163,113
13;"ARIMA(1,1,1)(0,0,0)";4;156249,235995285;395,28374112185;305,767232222074;8,50021875764999;90,795
13;"ARIMA(1,1,1)(0,0,0)";5;180717,268604366;425,108537439989;328,126393222043;9,03801701305994;115,794
13;"ARIMA(2,1,1)(0,0,0)";6;185787,080003567;431,030254162706;332,222139977833;9,13334515636756;147,016
8;"ARIMA(1,1,5)(0,0,0)";1;86,684999468288;9,31047793984219;7,34926878124791;3,90886617052234;123,518
