"sk_ponto";"ds_best_param";"n_time_steps";"MSE";"RMSE";"MAE";"MAPE";"Duration"
8;"ARIMA(1,1,4)(0,0,0)";2;97,6151205950691;9,8800364672945;7,90700154875639;4,18729768370237;156,815
8;"ARIMA(0,1,0)(0,0,0)";3;292,544760425365;17,1039399094292;14,1422416291503;7,23384256806085;23,433
8;"ARIMA(2,1,1)(0,0,0)";4;88,015897575237;9,38167882498847;7,5272578996164;3,99696066701226;118,888
8;"ARIMA(0,1,0)(0,0,0)";5;310,210742496428;17,612800529627;14,6066726842492;7,45449904069329;32,557
8;"ARIMA(0,1,2)(0,0,0)";6;64,3770837291166;8,02353312008598;6,23635246838472;3,33786847063437;138,282
1;"ARIMA(5,1,0)(0,0,0)";1;4228,18944868104;65,024529592155;46,9531820518765;7,09953317693917;41,11
1;"ARIMA(2,1,0)(0,0,0)";2;9571,74778764042;97,8353095136946;81,0585887717883;11,4679508187603;49,576
1;"ARIMA(2,1,0)(0,0,0)";3;15489,5152101819;124,45688092742;106,706771076976;14,3051583247981;57,928
1;"ARIMA(3,1,0)(0,0,0)";4;3972,48967361272;63,0276897372315;43,6077448497995;6,64333849926694;142,532
1;"ARIMA(4,1,0)(0,0,0)";5;3959,875621533;62,9275426306558;44,8892353774672;6,8400108979402;327,177
1;"ARIMA(1,1,0)(0,0,0)";6;7565,05320649888;86,9773143210279;65,0499621152734;9,47960112373976;87,542
9;"ARIMA(1,1,4)(0,0,0)";1;2336,3988555029;48,3363099078001;38,8201000253317;8,51944528907982;168,413
9;"ARIMA(1,1,4)(0,0,0)";2;3070,32283961079;55,4104939484461;44,4204377885016;9,66857452217911;164,571
9;"ARIMA(2,1,2)(0,0,0)";3;2500,42423999015;50,0042422199372;40,1026200377828;8,77499528961618;93,788
9;"ARIMA(0,1,0)(0,0,0)";4;8716,14774906377;93,360311423344;81,495605044319;15,4996002729944;7,47
9;"ARIMA(0,1,0)(0,0,0)";5;9276,03119597943;96,3121549752648;84,0819873284425;15,8930381509425;9,979
9;"ARIMA(1,1,1)(0,0,0)";6;11877,4212980893;108,983582699824;95,2585392690816;17,546097026063;43,946
