N_Nos_Layer1;N_Nos_Layer2;N_Nos_Layer3;EPOCAS;MSE;RMSE;MAE;MAPE;Duracao
100;98;50;250;67012,27151;258,8672855;134,410033;2,136713821;66,01093984
100;98;48;250;64269,59311;253,514483;98,59445719;1,902989798;66,20677924
100;98;46;250;69541,64284;263,7074948;119,0591025;2,052972721;64,01490688
100;98;44;250;82980,91261;288,0640773;139,2542123;2,199805936;65,21455336
100;98;42;250;73538,64279;271,1800929;148,929613;2,285166548;65,57326722
100;98;40;250;70394,9057;265,3203831;132,4173033;2,132135421;66,24485517
100;98;38;250;72152,66136;268,6124743;121,1489898;2,079824614;65,13303852
100;98;36;250;68346,47186;261,4315816;124,536453;2,097754106;65,13522935
100;98;34;250;69956,39521;264,492713;125,9725419;2,100664627;65,71185613
100;98;32;250;64229,30116;253,4350038;94,2332996;1,845441173;65,89821744
100;98;30;250;75560,11938;274,8820099;133,0523079;2,182717994;66,72976732
100;98;28;250;68449,72932;261,6289917;115,5369961;2,025064512;67,19386721
100;98;26;250;68322,76854;261,386244;113,8156012;2,019383467;67,7240696
100;98;24;250;70790,40191;266,0646574;108,9993607;1,980087669;66,42979836
100;98;22;250;68307,34289;261,3567349;108,7587363;1,980208033;64,65911651
100;98;20;250;70107,59679;264,7783918;117,9190419;2,050571957;65,17076135
100;98;18;250;66040,61579;256,9836878;109,5649346;1,978815054;65,03370571
100;98;16;250;71193,7543;266,8215777;109,488434;1,983452895;66,51186132
100;98;14;250;69115,62868;262,898514;113,1069698;2,000704386;65,1286943
100;98;12;250;64620,459;254,2055448;111,9801801;1,972592357;65,61922836
100;98;10;250;69583,9515;263,7877016;112,6596396;2,017024289;65,61292934
100;98;8;250;67847,85753;260,476213;108,3998115;1,969205684;66,62045312
100;96;100;250;64670,06124;254,3030893;89,60121608;1,811206784;69,45624757
100;96;98;250;70661,56477;265,8224309;142,5085091;2,22378576;66,58058786
100;96;96;250;77775,61436;278,8827968;154,2379431;2,35092704;66,57837176
100;96;94;250;76844,16742;277,2078055;147,9841455;2,301484897;67,23283052
100;96;92;250;73503,79621;271,1158354;136,3360742;2,186887789;67,26377201
100;96;90;250;58779,08713;242,4439876;84,33556603;1,750559839;67,22443295
100;96;88;250;77585,62699;278,5419663;149,0294838;2,292370714;67,54635358
100;96;86;250;67355,86232;259,5300798;123,0312766;2,076408118;67,77627873
100;96;84;250;79203,9972;281,4320472;146,1191679;2,299807491;68,10118246
100;96;82;250;70218,9317;264,9885501;117,8856343;2,055396729;69,05214286
