SK_PONTO;Best Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration
1;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};1;5265113.895410312;2294.583599568844;664.0595637015695;28.943167571920842;1.213362216949463
1;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'};2;5689913.425648076;2385.3539413781086;726.9147472489421;30.800721729569748;1.2908408641815186
1;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'};3;6140903.026686052;2478.084547929318;611.2906120572661;32.01252964975088;1.251305103302002
1;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'};4;6588880.905564447;2566.8815526947183;664.767617686497;32.87521341438243;1.3092453479766846
1;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};5;6231871.837264939;2496.3717345910122;932.1110988418841;32.754904712739126;1.3334648609161377
1;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'};6;6331652.0526984045;2516.2774196615137;703.7578033062482;32.61628880676547;1.364243984222412
4;{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'};1;11226290.072803995;3350.5656347554204;3171.543953291246;31.034241066122135;2.0757036209106445
4;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-07, 'kernel': 'rbf'};2;4994573.880920296;2234.854331029272;1655.7742646204624;17.882998977019998;2.0304136276245117
4;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'};3;4958674.610648015;2226.8081665576888;1262.8561840203784;18.61300388703131;1.9545419216156006
4;{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'};4;5380348.413642524;2319.5578056264353;1472.1111809559034;21.47340180465591;3.1666715145111084
4;{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-07, 'kernel': 'rbf'};5;3569794.872390257;1889.3900794675135;685.8199606363778;17.822766232804817;2.02966046333313
4;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'};6;2973240.3527115225;1724.308659350617;414.05028433339976;15.695512963139683;2.165213108062744
5;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'};1;135273614.97081688;11630.718592194416;11642.316752647252;57.539644391587274;2.465261459350586
5;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'};2;4625923.608396459;2150.796040631575;838.5280931515463;10.536826179733957;2.4319043159484863
5;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'};3;3700418.1133101787;1923.6470864766693;681.2717561219888;9.753512239074238;2.572697401046753
