SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
5;1-Hour;ARIMA2;3;90542,66;300,9;226,63;46,27;71,1;ARIMA(5,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;46,27;999,0
5;1-Hour;ARIMA2;4;69296,17;263,24;201,48;39,03;18,5;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;39,03;999,0
5;1-Hour;ARIMA2;5;93542,76;305,85;230,6;47,58;22,5;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;47,58;999,0
5;1-Hour;ARIMA2;6;130621,52;361,42;269,57;70,53;25,5;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;70,53;999,0
5;1-Hour;LSTM;1;3923,18;62,64;29,61;4,85;118,3; LSTM(100,90,96);999,0;999,0;999,0;4,85;999,0;999,0;999,0
5;1-Hour;LSTM;2;4197,17;64,79;30,88;5,14;141,9; LSTM(100,90,96);999,0;999,0;999,0;5,14;999,0;999,0;999,0
5;1-Hour;LSTM;3;4300,42;65,58;32,24;5,3;151,2; LSTM(100,90,96);999,0;999,0;999,0;5,3;999,0;999,0;999,0
5;1-Hour;LSTM;4;4274,15;65,38;30,64;5,12;166,6; LSTM(100,90,96);999,0;999,0;999,0;5,12;999,0;999,0;999,0
5;1-Hour;LSTM;5;4065,74;63,76;29,23;5,0;179,8; LSTM(100,90,96);999,0;999,0;999,0;5,0;999,0;999,0;999,0
5;1-Hour;LSTM;6;4391,6;66,27;32,17;5,3;195,5; LSTM(100,90,96);999,0;999,0;999,0;5,3;999,0;999,0;999,0
5;1-Hour;MLP;1;5929,06;77,0;48,59;6,9;213,9;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;6,9
5;1-Hour;MLP;2;5366,87;73,26;40,86;6,35;249,2;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;6,35
5;1-Hour;MLP;3;5177,37;71,95;37,19;6,03;198,7;{'activation': 'relu', 'alpha': 0,0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;6,03
5;1-Hour;MLP;4;5543,0;74,45;39,76;6,36;215,4;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;6,36
5;1-Hour;MLP;5;5642,57;75,12;41,85;6,56;227,3;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;6,56
5;1-Hour;MLP;6;5745,41;75,8;39,71;6,3;284,6;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;6,3
5;1-Hour;SVR-LSTM;1;10437,17;102,16;63,42;8,98;158,8;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);8,98;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;2;10491,29;102,43;62,16;8,85;192,3;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);8,85;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;3;12088,23;109,95;75,58;9,61;209,5;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);9,61;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;4;12501,2;111,81;72,09;9,84;199,7;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);9,84;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;5;6977,82;83,53;47,35;7,17;156,3;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);7,17;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;6;7554,42;86,92;55,84;7,72;148,2;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);7,72;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;1;10437,6;102,16;63,41;8,98;154,1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);8,98;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;2;10488,24;102,41;62,16;8,85;150,9;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);8,85;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;3;12110,68;110,05;75,72;9,63;167,6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);9,63;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;4;12091,54;109,96;70,56;9,7;176,0;SVR-LSTM{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);9,7;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;5;7131,18;84,45;47,57;7,21;212,0;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);7,21;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-LSTM;6;8697,82;93,26;55,51;8,06;207,2;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);8,06;999,0;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-MLP;1;5757,08;75,88;44,49;6,56;204,3;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;6,56;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-MLP;2;8098,3;89,99;60,66;8,18;242,7;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;8,18;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-MLP;3;5713,57;75,59;37,72;6,15;241,4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;6,15;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-MLP;4;5918,83;76,93;36,93;6,18;245,8;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;6,18;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-MLP;5;6695,63;81,83;47,99;7,15;356,8;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;7,15;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR-MLP;6;5043,59;71,02;33,51;5,82;273,4;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;5,82;999,0;999,0;999,0;999,0;999,0
5;1-Hour;SVR;1;135273614,97;11630,72;11642,32;57,54;2,5;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;57,54;999,0;999,0;999,0;999,0
5;1-Hour;SVR;2;4625923,61;2150,8;838,53;10,54;2,4;{'C': 125550, 'epsilon': 0,001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;10,54;999,0;999,0;999,0;999,0
5;1-Hour;SVR;3;3700418,11;1923,65;681,27;9,75;2,6;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;9,75;999,0;999,0;999,0;999,0
5;1-Hour;SVR;4;6821564,32;2611,81;1837,5;14,26;2,6;{'C': 12550, 'epsilon': 0,001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;14,26;999,0;999,0;999,0;999,0
5;1-Hour;SVR;5;7053580,02;2655,86;1972,47;14,92;2,6;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;14,92;999,0;999,0;999,0;999,0
5;1-Hour;SVR;6;4328787,06;2080,57;961,81;11,01;2,6;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;11,01;999,0;999,0;999,0;999,0
6;1-Hour;ARIMA1;1;11244,25;106,04;100,31;38,02;69,1;ARIMA(0,1,1)(0,0,0);999,0;999,0;999,0;999,0;38,02;999,0;999,0
6;1-Hour;ARIMA1;2;15602,08;124,91;118,23;44,64;70,3;ARIMA(1,1,0)(0,0,0);999,0;999,0;999,0;999,0;44,64;999,0;999,0
6;1-Hour;ARIMA1;3;25419,18;159,43;136,53;99,12;56,3;ARIMA(1,1,0)(0,0,0);999,0;999,0;999,0;999,0;99,12;999,0;999,0
6;1-Hour;ARIMA1;4;27397,53;165,52;154,79;67,8;38,7;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;67,8;999,0;999,0
6;1-Hour;ARIMA1;5;27158,7;164,8;154,2;66,7;28,9;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;66,7;999,0;999,0
6;1-Hour;ARIMA1;6;27694,09;166,42;155,35;68,97;32,0;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;68,97;999,0;999,0
6;1-Hour;ARIMA2;1;17365,14;131,78;124,35;52,47;93,6;ARIMA(0,1,4)(0,0,0);999,0;999,0;999,0;999,0;999,0;52,47;999,0
6;1-Hour;ARIMA2;2;21015,52;144,97;136,91;54,14;14,1;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;54,14;999,0
6;1-Hour;ARIMA2;3;22192,42;148,97;140,47;56,44;20,0;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;56,44;999,0
6;1-Hour;ARIMA2;4;31905,46;178,62;165,73;92,39;86,8;ARIMA(3,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;92,39;999,0
6;1-Hour;ARIMA2;5;28502,6;168,83;157,53;75,69;74,4;ARIMA(1,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;75,69;999,0
6;1-Hour;ARIMA2;6;28387,78;168,49;157,12;76,61;135,6;ARIMA(3,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;76,61;999,0
6;1-Hour;LSTM;1;83386,33;288,77;300,04;100,0;243,1; LSTM(100,90,96);999,0;999,0;999,0;100,0;999,0;999,0;999,0
6;1-Hour;LSTM;2;81889,82;286,16;299,26;99,38;269,9; LSTM(100,90,96);999,0;999,0;999,0;99,38;999,0;999,0;999,0
6;1-Hour;LSTM;3;83176,02;288,4;299,63;99,9;296,2; LSTM(100,90,96);999,0;999,0;999,0;99,9;999,0;999,0;999,0
6;1-Hour;LSTM;4;82292,94;286,87;299,78;99,44;300,4; LSTM(100,90,96);999,0;999,0;999,0;99,44;999,0;999,0;999,0
6;1-Hour;LSTM;5;67764,17;260,32;198,88;89,2;313,5; LSTM(100,90,96);999,0;999,0;999,0;89,2;999,0;999,0;999,0
6;1-Hour;LSTM;6;60826,49;246,63;187,96;84,53;315,5; LSTM(100,90,96);999,0;999,0;999,0;84,53;999,0;999,0;999,0
6;1-Hour;MLP;1;40683,28;201,7;183,46;66,13;241,0;{'activation': 'relu', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;66,13
6;1-Hour;MLP;2;40849,01;202,11;183,94;66,3;210,6;{'activation': 'relu', 'alpha': 0,001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;66,3
6;1-Hour;MLP;3;41301,09;203,23;185,22;66,79;256,1;{'activation': 'relu', 'alpha': 0,0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;66,79
6;1-Hour;MLP;4;41354,93;203,36;185,34;66,85;264,6;{'activation': 'relu', 'alpha': 0,001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;66,85
6;1-Hour;MLP;5;4279,87;65,42;30,12;34,69;293,8;{'activation': 'relu', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;34,69
6;1-Hour;MLP;6;4493,02;67,03;40,0;36,82;303,3;{'activation': 'relu', 'alpha': 0,001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;36,82
6;1-Hour;SVR-LSTM;1;8067,26;89,82;78,28;36,13;167,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);36,13;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;2;10185,79;100,92;82,51;34,48;166,8;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);34,48;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;3;6389,61;79,94;70,94;50,88;172,1;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);50,88;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;4;18699,18;136,74;115,32;51,24;172,7;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);51,24;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;5;5749,07;75,82;58,11;46,24;222,8;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);46,24;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;6;5321,61;72,95;44,88;39,94;269,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);39,94;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;1;8033,96;89,63;78,12;36,19;211,2;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);36,19;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;2;10132,68;100,66;82,27;34,41;224,8;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);34,41;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;3;5911,63;76,89;64,29;48,32;246,9;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);48,32;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;4;5256,58;72,5;47,68;41,99;240,9;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);41,99;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;5;8160,85;90,34;80,97;56,97;211,4;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);56,97;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-LSTM;6;6037,78;77,7;60,78;47,26;190,6;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);47,26;999,0;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-MLP;1;5867,85;76,6;67,27;46,29;254,0;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;46,29;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-MLP;2;5534,03;74,39;60,07;44,15;258,3;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;44,15;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-MLP;3;4258,18;65,25;31,11;35,51;261,0;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;35,51;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-MLP;4;4417,04;66,46;28,15;34,32;317,4;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;34,32;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-MLP;5;4175,91;64,62;28,34;34,36;307,8;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;34,36;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR-MLP;6;4356,98;66,01;30,92;34,96;332,1;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;34,96;999,0;999,0;999,0;999,0;999,0
6;1-Hour;SVR;1;3600453,65;1897,49;1811,19;29,59;2,4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;29,59;999,0;999,0;999,0;999,0
6;1-Hour;SVR;2;4953976,3;2225,75;2124,02;34,67;2,4;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-07, 'kernel': 'rbf'};999,0;999,0;34,67;999,0;999,0;999,0;999,0
6;1-Hour;SVR;3;2740139,26;1655,34;1439,19;24,57;2,3;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;24,57;999,0;999,0;999,0;999,0
6;1-Hour;SVR;4;654640,48;809,1;628,66;11,2;2,4;{'C': 12550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;11,2;999,0;999,0;999,0;999,0
6;1-Hour;SVR;5;648684,87;805,41;640,43;11,31;2,5;{'C': 12550, 'epsilon': 0,001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;11,31;999,0;999,0;999,0;999,0
6;1-Hour;SVR;6;385887,84;621,2;403,67;8,0;2,5;{'C': 12550, 'epsilon': 0,01, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;8,0;999,0;999,0;999,0;999,0
