SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
5;3-Week;MLP;1;366550350,3;19145,5;2484,09;14,3;21,1;{'activation': 'relu', 'alpha': 0,001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;14,3
5;3-Week;MLP;2;367518155,63;19170,76;2580,72;14,93;17,0;{'activation': 'relu', 'alpha': 0,01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;14,93
5;3-Week;MLP;3;343838393,37;18542,88;3438,28;14,85;14,4;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;14,85
5;3-Week;MLP;4;346998220,62;18627,89;3245,46;14,78;19,5;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;14,78
5;3-Week;MLP;5;304501511,45;17449,97;3646,44;13,9;18,2;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;13,9
5;3-Week;MLP;6;315032105,64;17749,14;4276,63;14,64;17,0;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;14,64
5;3-Week;SVR-LSTM;1;311389347,3;17646,23;3573,22;14,08;11,6;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);14,08;999,0;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-LSTM;2;281560764,03;16779,77;3326,7;13,52;14,0;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,52;999,0;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-LSTM;3;284757099,45;16874,75;2820,37;13,51;8,7;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,51;999,0;999,0;999,0;999,0;999,0;999,0
5;3-Week;SVR-LSTM;4;291122723,0;17062,32;2617,81;13,85;7,8;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);13,85;999,0;999,0;999,0;999,0;999,0;999,0
