SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
12;2-Day;SVR-MLP;3;1045067,04;1022,29;876,9;11,57;24,6;SVR-MLP{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;11,57;999,0;999,0;999,0;999,0;999,0
12;2-Day;SVR-MLP;4;2441607,22;1562,56;1535,61;18,89;25,3;SVR-MLP{'C': 125550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;18,89;999,0;999,0;999,0;999,0;999,0
12;2-Day;SVR-MLP;5;552265,31;743,15;260,34;6,42;33,8;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-07, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'};999,0;6,42;999,0;999,0;999,0;999,0;999,0
12;2-Day;SVR-MLP;6;524219,22;724,03;280,03;6,37;32,0;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'};999,0;6,37;999,0;999,0;999,0;999,0;999,0
12;2-Day;SVR;1;1359508,58;1165,98;289,96;7,77;56,4;{'C': 1255555, 'epsilon': 0,001, 'gamma': 1e-05, 'kernel': 'rbf'};999,0;999,0;7,77;999,0;999,0;999,0;999,0
12;2-Day;SVR;2;547281,99;739,79;230,03;6,14;79,5;{'C': 1255555, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;6,14;999,0;999,0;999,0;999,0
12;2-Day;SVR;3;519556,0;720,8;246,48;6,1;78,8;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;6,1;999,0;999,0;999,0;999,0
12;2-Day;SVR;4;503058,5;709,27;245,69;6,01;80,5;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;6,01;999,0;999,0;999,0;999,0
12;2-Day;SVR;5;1115537,13;1056,19;240,32;7,53;113,3;{'C': 1255555, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};999,0;999,0;7,53;999,0;999,0;999,0;999,0
12;2-Day;SVR;6;712108,18;843,87;240,14;6,63;56,8;{'C': 125550, 'epsilon': 0,0001, 'gamma': 1e-07, 'kernel': 'rbf'};999,0;999,0;6,63;999,0;999,0;999,0;999,0
13;2-Day;ARIMA1;1;146192,23;382,35;296,16;8,29;61,7;ARIMA(2,1,1)(0,0,0);999,0;999,0;999,0;999,0;8,29;999,0;999,0
13;2-Day;ARIMA1;2;114778,36;338,79;262,37;7,44;61,2;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;7,44;999,0;999,0
13;2-Day;ARIMA1;3;132535,1;364,05;283,58;8,15;173,9;ARIMA(5,1,1)(0,0,0);999,0;999,0;999,0;999,0;8,15;999,0;999,0
13;2-Day;ARIMA1;4;150964,82;388,54;300,22;8,38;85,5;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;8,38;999,0;999,0
13;2-Day;ARIMA1;5;175294,04;418,68;322,79;8,92;127,2;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;8,92;999,0;999,0
13;2-Day;ARIMA1;6;185669,25;430,89;331,79;9,14;169,5;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;9,14;999,0;999,0
13;2-Day;ARIMA2;1;147425,34;383,96;297,76;8,31;58,7;ARIMA(2,1,1)(0,0,0);999,0;999,0;999,0;999,0;999,0;8,31;999,0
13;2-Day;ARIMA2;2;119343,09;345,46;267,83;7,56;54,7;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;999,0;7,56;999,0
13;2-Day;ARIMA2;3;189491,37;435,31;336,95;9,26;160,3;ARIMA(1,1,3)(0,0,0);999,0;999,0;999,0;999,0;999,0;9,26;999,0
13;2-Day;ARIMA2;4;156249,24;395,28;305,77;8,5;93,7;ARIMA(1,1,1)(0,0,0);999,0;999,0;999,0;999,0;999,0;8,5;999,0
